ID,Issue Text,Severity,File Name,Line Number
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/metadata.py,959
B110,"Try, Except, Pass detected.",LOW,./.venv/lib/python3.11/site-packages/distlib/scripts.py,301
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,21
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,275
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,362
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,389
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,539
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,599
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,648
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,665
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,843
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1107
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1112
B202,tarfile.extractall used without any validation. Please check and discard dangerous members.,HIGH,./.venv/lib/python3.11/site-packages/distlib/util.py,1285
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1317
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1325
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1326
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1335
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1426
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/distlib/util.py,1762
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/version.py,34
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/version.py,35
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/wheel.py,433
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/filelock/_soft.py,38
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/identify/identify.py,81
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/identify/identify.py,82
B105,Possible hardcoded password: '-i',LOW,./.venv/lib/python3.11/site-packages/identify/identify.py,171
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/ruler.py,266
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/rules_core/linkify.py,35
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/rules_core/linkify.py,39
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/rules_core/smartquotes.py,20
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/tree.py,101
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/markdown_it/tree.py,165
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,24
B607,Starting a process with a partial executable path,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,190
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,190
B602,"subprocess call with shell=True identified, security issue.",HIGH,./.venv/lib/python3.11/site-packages/nodeenv.py,500
B202,tarfile.extractall used without any validation. Please check and discard dangerous members.,HIGH,./.venv/lib/python3.11/site-packages/nodeenv.py,639
B310,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,MEDIUM,./.venv/lib/python3.11/site-packages/nodeenv.py,651
B310,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,MEDIUM,./.venv/lib/python3.11/site-packages/nodeenv.py,652
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,817
B202,tarfile.extractall used without any validation. Please check and discard dangerous members.,HIGH,./.venv/lib/python3.11/site-packages/nodeenv.py,859
B607,Starting a process with a partial executable path,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,940
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,940
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/nodeenv.py,946
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pbr/git.py,25
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pbr/git.py,46
B110,"Try, Except, Pass detected.",LOW,./.venv/lib/python3.11/site-packages/pbr/packaging.py,729
B605,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",LOW,./.venv/lib/python3.11/site-packages/pbr/testr_command.py,142
B607,Starting a process with a partial executable path,LOW,./.venv/lib/python3.11/site-packages/pbr/testr_command.py,142
B605,"Starting a process with a shell, possible injection detected, security issue.",HIGH,./.venv/lib/python3.11/site-packages/pbr/testr_command.py,143
B605,"Starting a process with a shell, possible injection detected, security issue.",HIGH,./.venv/lib/python3.11/site-packages/pbr/testr_command.py,144
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/base.py,44
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/base.py,182
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/base.py,206
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_core.py,78
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_core.py,89
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_hooks.py,68
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_hooks.py,69
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_wsgi.py,17
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pbr/tests/test_wsgi.py,87
B310,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,MEDIUM,./.venv/lib/python3.11/site-packages/pbr/tests/test_wsgi.py,111
B310,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,MEDIUM,./.venv/lib/python3.11/site-packages/pbr/tests/test_wsgi.py,116
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/__pip-runner__.py,43
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/__pip-runner__.py,49
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/build_env.py,214
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cache.py,40
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cache.py,124
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/base_command.py,88
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/base_command.py,106
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/command_context.py,15
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/command_context.py,25
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/index_command.py,80
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/index_command.py,92
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/index_command.py,154
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/main_parser.py,5
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/main_parser.py,101
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,51
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,112
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,114
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,168
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,225
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,252
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/parser.py,285
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/progress_bars.py,30
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/req_command.py,62
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/req_command.py,108
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/spinners.py,44
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/cli/spinners.py,83
B604,"Function call with shell=True parameter identified, possible security issue.",MEDIUM,./.venv/lib/python3.11/site-packages/pip/_internal/commands/completion.py,124
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/configuration.py,3
B602,"subprocess call with shell=True identified, security issue.",HIGH,./.venv/lib/python3.11/site-packages/pip/_internal/commands/configuration.py,239
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/debug.py,73
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/download.py,137
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/install.py,518
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/install.py,607
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/install.py,704
B411,Using xmlrpc.client to parse untrusted XML data is known to be vulnerable to XML attacks. Use defusedxml.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,HIGH,./.venv/lib/python3.11/site-packages/pip/_internal/commands/search.py,5
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/search.py,82
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/wheel.py,167
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/commands/wheel.py,168
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/configuration.py,130
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/configuration.py,160
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/configuration.py,180
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/configuration.py,365
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/installed.py,20
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/sdist.py,26
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/sdist.py,61
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/sdist.py,75
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/sdist.py,101
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/sdist.py,111
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/wheel.py,31
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/distributions/wheel.py,32
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/exceptions.py,89
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/exceptions.py,91
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/exceptions.py,655
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/collector.py,189
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py,356
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py,359
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py,361
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py,533
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py,840
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/locations/_distutils.py,66
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/locations/_distutils.py,71
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/locations/_distutils.py,72
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/metadata/pkg_resources.py,112
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/direct_url.py,60
B105,Possible hardcoded password: 'git',LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/direct_url.py,171
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/installation_report.py,15
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/link.py,69
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/link.py,105
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/models/link.py,404
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/auth.py,10
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/auth.py,137
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/auth.py,153
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/auth.py,431
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/auth.py,553
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/cache.py,51
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/download.py,137
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/download.py,171
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/lazy_wheel.py,54
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/session.py,15
B607,Starting a process with a partial executable path,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/session.py,184
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/session.py,184
B110,"Try, Except, Pass detected.",LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/session.py,187
B411,Using xmlrpc.client to parse untrusted XML data is known to be vulnerable to XML attacks. Use defusedxml.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,HIGH,./.venv/lib/python3.11/site-packages/pip/_internal/network/xmlrpc.py,6
B411,Using _HostType to parse untrusted XML data is known to be vulnerable to XML attacks. Use defusedxml.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,HIGH,./.venv/lib/python3.11/site-packages/pip/_internal/network/xmlrpc.py,14
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/xmlrpc.py,41
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/network/xmlrpc.py,56
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/build/build_tracker.py,36
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/build/build_tracker.py,105
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/build/wheel.py,22
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/build/wheel_editable.py,22
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/freeze.py,163
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/install/wheel.py,99
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/install/wheel.py,621
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,80
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,162
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,312
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,386
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,462
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,495
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,562
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,568
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,569
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,570
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,621
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,652
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,653
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,682
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,695
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,716
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/operations/prepare.py,717
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/pyproject.py,115
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/pyproject.py,140
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/__init__.py,31
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/constructors.py,75
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/constructors.py,80
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/req_file.py,182
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/req_file.py,494
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/pip/_internal/req/req_file.py,506
